iter	Passed	Remaining
774	8050	2337
775	8059	2326
776	8068	2315
777	8074	2304
778	8085	2293
779	8092	2282
780	8101	2271
781	8107	2260
782	8118	2250
783	8124	2238
784	8132	2227
785	8138	2215
786	8149	2205
787	8158	2194
788	8168	2184
789	8179	2174
790	8187	2163
791	8198	2153
792	8204	2141
793	8212	2130
794	8221	2120
795	8232	2109
796	8238	2098
797	8247	2087
798	8255	2076
799	8265	2066
800	8270	2054
801	8282	2044
802	8289	2033
803	8299	2023
804	8311	2013
805	8321	2002
806	8341	1994
807	8368	1988
808	8381	1978
809	8403	1971
810	8419	1962
811	8432	1952
812	8452	1944
813	8477	1937
814	8510	1931
815	8544	1926
816	8559	1917
817	8570	1906
818	8589	1898
819	8606	1889
820	8618	1878
821	8634	1869
822	8651	1860
823	8661	1850
824	8669	1838
825	8682	1828
826	8693	1818
827	8700	1807
828	8710	1796
829	8717	1785
830	8728	1775
831	8741	1765
832	8755	1755
833	8762	1744
834	8768	1732
835	8794	1725
836	8805	1714
837	8813	1703
838	8831	1694
839	8845	1684
840	8852	1673
841	8860	1662
842	8870	1652
843	8883	1641
844	8900	1632
845	8915	1622
846	8925	1612
847	8936	1601
848	8946	1591
849	8954	1580
850	8960	1568
851	8971	1558
852	8981	1547
853	8993	1537
854	9004	1527
855	9015	1516
856	9020	1505
857	9025	1493
858	9040	1483
859	9050	1473
860	9057	1462
861	9066	1451
862	9074	1440
863	9083	1429
864	9092	1419
865	9098	1407
866	9107	1397
867	9113	1385
868	9118	1374
869	9126	1363
870	9133	1352
871	9139	1341
872	9146	1330
873	9153	1319
874	9161	1308
875	9173	1298
876	9178	1287
877	9184	1276
878	9190	1265
879	9195	1253
880	9203	1243
881	9210	1232
882	9223	1222
883	9233	1211
884	9238	1200
885	9246	1189
886	9253	1178
887	9264	1168
888	9271	1157
889	9278	1146
890	9294	1137
891	9304	1126
892	9318	1116
893	9327	1105
894	9334	1095
895	9345	1084
896	9351	1073
897	9364	1063
898	9372	1052
899	9380	1042
900	9385	1031
901	9392	1020
902	9399	1009
903	9411	999
904	9418	988
905	9430	978
906	9437	967
907	9447	957
908	9454	946
909	9466	936
910	9475	925
911	9486	915
912	9496	904
913	9507	894
914	9514	883
915	9522	873
916	9531	862
917	9542	852
918	9550	841
919	9559	831
920	9566	820
921	9575	810
922	9581	799
923	9591	788
924	9598	778
925	9608	767
926	9614	757
927	9623	746
928	9635	736
929	9642	725
930	9648	715
931	9664	705
932	9680	695
933	9692	684
934	9698	674
935	9706	663
936	9712	653
937	9720	642
938	9727	631
939	9738	621
940	9744	610
941	9754	600
942	9766	590
943	9775	579
944	9786	569
945	9800	559
946	9806	548
947	9818	538
948	9825	528
949	9834	517
950	9846	507
951	9857	497
952	9869	486
953	9875	476
954	9888	465
955	9895	455
956	9904	445
957	9911	434
958	9919	424
959	9928	413
960	9940	403
961	9953	393
962	9965	382
963	9976	372
964	9982	362
965	9996	351
966	10005	341
967	10014	331
968	10028	320
969	10034	310
970	10046	300
971	10054	289
972	10061	279
973	10068	268
974	10076	258
975	10084	247
976	10094	237
977	10101	227
978	10108	216
979	10115	206
980	10124	196
981	10132	185
982	10143	175
983	10156	165
984	10162	154
985	10174	144
986	10183	134
987	10192	123
988	10200	113
989	10209	103
990	10219	92
991	10224	82
992	10229	72
993	10239	61
994	10247	51
995	10256	41
996	10263	30
997	10272	20
998	10285	10
999	10297	0
